FID,BUILDINGID,FACILITYKE,SHORTNAME,LONGNAME,FLOORCOUNT,x,y
0, ,701, ,West Apartment 701,2,-119.872427962000000,34.417892303499997
1, ,876, ,Loma Pelona Multipurpose Center,1,-119.851805846999990,34.410531902700001
2, ,845, ,San Clemente Encino 845 Apartments,3,-119.858048577000010,34.417999746900001
3, ,860, ,Santa Catalina Residence Hall,10,-119.868023398999990,34.417917497500000
4, ,707, ,West Apartment 707,2,-119.871206091999990,34.418321626199997
5, ,232, ,Trailer 232,1,-119.843500870000000,34.415979796899997
6, ,709, ,West Apartment 709,2,-119.870866633000010,34.418743676100000
7, ,933, ,Building 933,0,-119.871518437000010,34.413028668999999
8, ,924, ,Building 924,0,-119.871077392999990,34.412324435800002
9, ,376, ,Police Trailer,1,-119.852985756000000,34.422051506899997
10, ,1127, ,Building 1127,3,-119.870526881999990,34.421900569599998
11, , , , ,0,-119.848379406000010,34.412638654600002
12, ,251, ,Psychology East,4,-119.844590182000000,34.412004893700001
13, ,704, ,West Apartment 704,2,-119.871320342000000,34.418075053300001
14, ,927, ,Storke-Hollister,1,-119.871505514000010,34.412414955000003
15, ,904, ,Building 904,0,-119.871087263000010,34.411287909899997
16, ,277, ,Pollock Theater,2,-119.848805572000000,34.415047111400000
17, ,592, ,Molten Metal Lab,1,-119.849763345000000,34.411734329799998
18, ,538, ,Campbell Hall,2,-119.845248604999990,34.416264009700001
19, ,975, ,Building 975,0,-119.874220627000000,34.411203618599998
20, ,394, ,Santa Cruz Island Facility No 4,1,-119.852095988000000,34.420118857900000
21, ,384, ,Engineering Trailer 384,1,-119.842505470000010,34.413707893700000
22, ,788, ,Storke Apartments 788,3,-119.862549778000000,34.422033846100000
23, ,841, ,San Clemente Arrowhead 841 Apartments,3,-119.854856275000000,34.418265896500003
24, ,966, ,Building 966,0,-119.870181680000000,34.411817027600001
25, ,908, ,Building 908,0,-119.870833984000000,34.411729637100002
26, ,937, ,937,1,-119.871182017000000,34.412727304900002
27, ,7925, ,Building 7924,0,-119.872847218000000,34.412063093599997
28, ,7050, ,West Conference Center 7050,1,-119.876594826000000,34.411562532700003
29, ,223, ,Theater & Dance West,2,-119.851466089000000,34.412358170200001
30, ,782, ,Storke Apartments 782,3,-119.863691730000000,34.422360730100003
31, ,787, ,Storke Apartments 787,3,-119.863196200999990,34.422586504900003
32, ,714, ,West Apartment 714,2,-119.871857406999990,34.417983127100001
33, ,7000, ,Building 7000,0,-119.874777425999990,34.410342149599998
34, ,321, ,Trailer 321,0,-119.843745033000000,34.408179394000001
35, ,524, ,Electric Sub-Station,1,-119.846809947000000,34.417694265999998
36, ,359, ,West Storage 359,1,-119.870687487000000,34.415431751900002
37, ,901, ,Building 901,0,-119.871241011000000,34.411697120900001
38, ,758, ,Storke Apartments 758,2,-119.863391709000000,34.423357217099998
39, ,883, ,Manzanita Village Condor Residence Hall,3,-119.852027895000010,34.408998707199999
40, ,408, ,Building 408,2,-119.844632465000000,34.412663470200002
41, ,967, ,Building 967,0,-119.870038376000000,34.411816520800002
42, ,806, ,Santa Ynez Apartments 806,2,-119.863504459000000,34.418151610599999
43, ,818, ,Santa Ynez Office Shop,1,-119.862060086000000,34.418781354399997
44, ,725, ,West Apartment 725,2,-119.872402935000000,34.418486957299997
45, ,772, ,Storke Apartments 772,2,-119.862293587000000,34.421897468099999
46, ,843, ,San Clemente Castaic 843 Apartments,3,-119.856815123999990,34.417774386600001
47, ,832, ,Santa Ynez Shop 832,1,-119.862436994000010,34.420109796500000
48, ,917, ,Building 917,0,-119.871621696000010,34.411772926700003
49, ,712, ,West Apartment 712,2,-119.871236641000000,34.419029779600002
50, ,810, ,Santa Ynez Apartments 810,2,-119.863106395000000,34.418672323999999
51, ,786, ,Storke Service 786,1,-119.862862131000000,34.422528447700003
52, ,846, ,San Clemente Donner 846 Apartments,3,-119.857467429000000,34.418276381799998
53, ,815, ,Santa Ynez Apartments 815,1,-119.861740567000000,34.419155663300003
54, ,767, ,Storke Apartments 767,3,-119.863192389999990,34.422287496199999
55, ,6970, ,Building 6970,0,-119.874614157000000,34.412223512899999
56, ,726, ,West Apartment 726,2,-119.872366560000000,34.418631913200002
57, ,560, ,Phelps Hall,7,-119.844272444000000,34.415810035200003
58, ,378, ,Communication Trailer,1,-119.852824904000000,34.422472405900002
59, ,575, ,Cloud Research Lab,1,-119.843065756000000,34.413443112499998
60, ,916, ,Building 916,0,-119.871444307000000,34.411598740000002
61, ,766, ,Storke Apartments 766,3,-119.862406969000010,34.422460134100000
62, ,1877, ,Building 1877,0,-119.867513367000000,34.418753426000002
63, ,583, ,Bird Aviary,1,-119.855255306999990,34.420137789599998
64, ,965, ,Sierra Nevada Aquatics Research Lab Garage,1,-119.870367329000000,34.411980910499999
65, ,849, ,San Clemente Bradbury 849 Apartments,3,-119.855811848000000,34.418269433299997
66, ,515, ,Humanities and Social Sciences Building,8,-119.850803443999990,34.413306851599998
67, ,380, ,Engineering Trailer 380,1,-119.842837372000010,34.413723730699999
68, ,672, ,Physical Sciences South,2,-119.842601590000000,34.414552030899998
69, ,503, ,Engineering II,4,-119.841366300000000,34.414504391199998
70, ,1875, ,Building 1875,0,-119.867867817999990,34.419057602700001
71, ,552, ,Cheadle Hall,7,-119.846502695000000,34.416263193399999
72, ,826, ,Santa Ynez Apartments 826,2,-119.860737173999990,34.419359192000002
73, ,928, ,Building 928,0,-119.871446668000000,34.421640847299997
74, ,514, ,Ocean Science Education Building,0,-119.842186534000010,34.411999785299997
75, ,512, ,Building 512,0,-119.844682862000000,34.413109892900003
76, , , , ,0,-119.879456910000000,34.423174187500003
77, , , , ,0,-119.879007767999990,34.423083739799999
78, , , , ,0,-119.878705615000000,34.422917953899997
79, , , , ,0,-119.878557033000010,34.422744259700004
80, , , , ,0,-119.878398690000000,34.422575608999999
81, , , , ,0,-119.878153875000000,34.422497419400003
82, , , , ,0,-119.877891426999990,34.422372481399997
83, , , , ,0,-119.878036385000000,34.422169141099999
84, ,919, ,Building 919,0,-119.871962418000000,34.411618787400002
85, ,794, ,Storke Apartments 794,2,-119.864584143000000,34.421257083999997
86, ,802, ,Storage Bunker 802,1,-119.853352429000000,34.422666446199997
87, ,921, ,Building 921,0,-119.871402098999990,34.411976978600002
88, ,578, ,Harder Office,1,-119.854655587000000,34.419720898500003
89, ,319, ,Relocatable 319,1,-119.843715063999990,34.408115367100002
90, ,720, ,West Apartment 720,2,-119.871465207000000,34.418999297100001
91, ,976, ,Building 976,0,-119.870328867000000,34.411233512300001
92, ,735, ,West Apartment 735,2,-119.872849063999990,34.419172439199997
93, ,7961, ,DEV7961,1,-119.873581015000000,34.410569470600002
94, ,816, ,Santa Ynez Apartments 816,2,-119.861292670000000,34.419140462300000
95, ,340, ,Facilities Management Building 340,1,-119.853144734000000,34.422796056700001
96, ,362, ,West Cliff House,1,-119.878633890000000,34.407450369199999
97, ,276, ,Social Sciences & Media Studies,4,-119.849647468000000,34.414950455700001
98, ,534, ,Arts,3,-119.849615657000000,34.412455184499997
99, ,926, ,Building 926,0,-119.871364507000000,34.412470969600001
100, ,710, ,West Apartment 711,2,-119.870691034999990,34.418997058300000
101, ,526, ,Webb Hall,3,-119.843722699000000,34.413389874099998
102, ,375, ,Transportation Services,1,-119.852153284000000,34.420768228699998
103, ,336, ,Central Garage Office,1,-119.852056260000000,34.420467048699997
104, ,805, ,Santa Ynez Apartments 805,2,-119.863443706000000,34.417825264100003
105, ,796, ,Storke Apartments 796,2,-119.864244861000000,34.420845540599998
106, , , , ,0,-119.858438310000000,34.417655673699997
107, ,437, ,Facilities Management Building 437,1,-119.852374104000010,34.420255500300001
108, ,792, ,Storke Apartments 792,3,-119.862866375000000,34.423187361300002
109, ,929, ,Building 929,0,-119.871052469000010,34.421491286600002
110, ,580, ,Harder Stadium,2,-119.853792157000000,34.420431729299999
111, ,964, ,Sierra Nevada Aquatics Research Lab Headquarters,2,-119.870367449000000,34.412099627600000
112, ,715, ,West Apartment 715,2,-119.871684044999990,34.418227208899999
113, ,557, ,Chemistry,5,-119.842637636000010,34.415438254100003
114, ,823, ,Santa Ynez Activities 823,1,-119.862001109999990,34.418011880300000
115, ,912, ,Building 912,0,-119.871938349000000,34.411348723000003
116, ,7020, ,DEV7020,1,-119.875557525000000,34.410879839700002
117, ,724, ,West Apartment 724,2,-119.872418916000000,34.418311032399998
118, ,364, ,West Staff Residence,1,-119.869722512000000,34.414660083299999
119, ,797, ,Storke Apartments 797,2,-119.864440079000000,34.420682942399999
120, ,591, ,Kerr Hall,2,-119.846841793000000,34.414541012999997
121, ,275, ,Education Building,4,-119.850529492000010,34.415294198700003
122, ,341, ,Building 341,0,-119.852822800000000,34.422647881099998
123, ,880, ,Manzanita Village Arguello Residence Hall,4,-119.852613193000000,34.409291935500001
124, ,7950, ,Building 7950,0,-119.873494967000000,34.413174789300001
125, ,827, ,Santa Ynez Apartments 827,2,-119.860755858999990,34.419623345300003
126, ,943, ,Building 943,0,-119.870980374000000,34.412724897799997
127, ,922, ,Building 922,0,-119.871226405000000,34.412076658399997
128, ,576, ,Building 576,1,-119.851464123000000,34.418013895500003
129, ,817, ,Santa Ynez Laundry,1,-119.862233470000010,34.418932109399996
130, ,599, ,Student Services,1,-119.849226200999990,34.413283554899998
131, ,657, ,Physical Sciences North,5,-119.843661194000010,34.415381888900001
132, ,915, ,Building 915,0,-119.871454275999990,34.411491211200001
133, ,317, ,Police 317,1,-119.852826933000000,34.422032345300003
134, ,502, ,Beach Pump,1,-119.843702849000000,34.406696037200000
135, ,334, ,Marine Science Institute Trailer 334,1,-119.843851680000000,34.407775971600003
136, ,354, ,West Creative 354,1,-119.870256811000000,34.415064083200001
137, ,597, ,First Aid Hostel,1,-119.852793856000010,34.417965965199997
138, ,527, ,Santa Rosa Residence Hall,2,-119.845252962000000,34.410520729900000
139, ,388, ,Parking Services 2,1,-119.852679925000000,34.419689940300003
140, ,235, ,Life Sciences,4,-119.843677219000000,34.411875321200000
141, ,7097, ,West Cottage 7097,1,-119.876392196000000,34.409861727600003
142, ,763, ,Storke Apartments 763,3,-119.863638342000000,34.422758563599999
143, ,906, ,Building 906,0,-119.870747184000000,34.411440583299999
144, ,773, ,Storke Apartments 773,3,-119.862826342000010,34.421815927700003
145, ,721, ,West Apartment 721,2,-119.872248393000010,34.417731957100003
146, ,1871, ,Building 1871,0,-119.868512374000010,34.418897234799999
147, ,516,Pavillion Gym,Recreation Center,1,-119.848924525000000,34.419088401200000
148, ,781, ,Storke Apartments 781,3,-119.864396052999990,34.422667666999999
149, ,489, ,Building 489,1,-119.843026996000010,34.416329564199998
150, ,736, ,West Office and Laundry,1,-119.871214917000000,34.418778265400000
151, ,574, ,Public Safety,2,-119.852914858000010,34.421812649099998
152, ,7040, ,Building 7040,0,-119.876159240000010,34.411119061599997
153, ,718, ,West Apartment 718,2,-119.871872993000000,34.418641202099998
154, ,7045, ,Building 7045,0,-119.875777445000000,34.409910831099999
155, ,956, ,Sierra Nevada Residence 5,1,-119.869866895000000,34.412684962800000
156, ,501, ,Arbor Convenience Store,1,-119.846520697000000,34.414142200000001
157, ,221, ,Student Resource Building,3,-119.852781390000000,34.412722836999997
158, ,507, ,Central Receiving Storehouse and Mail Facility,1,-119.856904915000000,34.423137290299998
159, ,546, ,Woodhouse Lab,2,-119.842726484000000,34.413372448099999
160, ,7015, ,DEV7015,1,-119.875512638000000,34.409857609699998
161, ,563, ,Ellison Hall,8,-119.845257278000010,34.415559375999997
162, ,717, ,West Apartment 717,2,-119.871854822000000,34.418459769499997
163, ,1122, ,Sierra Madre Berryessa Village,3,-119.870515760999990,34.419955180999999
164, , , , ,0,-119.879959959999990,34.422313128399999
165, , , , ,0,-119.879799832000000,34.422181392200002
166, , , , ,0,-119.879587297000000,34.421893217399997
167, , , , ,0,-119.879908502000010,34.421702950600000
168, , , , ,0,-119.879970646000000,34.421894139400003
169, , , , ,0,-119.880196647000010,34.422138776300002
170, , , , ,0,-119.880523581000010,34.422289166600002
171, , , , ,0,-119.880838499000010,34.422409469400002
172, , , , ,0,-119.882283699000000,34.422339039800001
173, , , , ,0,-119.879510491000000,34.422147142800000
174, , , , ,0,-119.879544012000000,34.422014199600000
175, , , , ,0,-119.879599730000000,34.421733749700003
176, , , , ,0,-119.880053000999990,34.422011303300003
177, , , , ,0,-119.880341172000000,34.422189545599998
178, , , , ,0,-119.880677406999990,34.422392744500002
179, , , , ,0,-119.881249259000000,34.422265822100002
180, ,532, ,Coral Tree Cafe,1,-119.846750425000000,34.415799968100004
181, ,573, ,Buchanan Hall,2,-119.844558452000000,34.415443106799998
182, ,379, ,Communication Trailer 2,1,-119.853326878999990,34.422526804199997
183, ,831, ,Santa Ynez Activities 831,1,-119.861226329000000,34.420202502599999
184, , , ,Engineering Trailer 939,1,-119.843928510000000,34.414079624899998
185, ,928, ,Building 928,0,-119.871594970999990,34.412204057099999
186, ,886, ,Manzanita Village Tepusquet Residence Hall,3,-119.851429248000000,34.408940004500003
187, ,7945, ,West 7945,1,-119.873392851000010,34.411898801100001
188, ,7055, ,DEV7055,3,-119.876306894000000,34.410497638800003
189, ,727, ,West Apartment 727,2,-119.872278389000000,34.418888751399997
190, ,936, ,Engineering Trailer 936,1,-119.843500918999990,34.416076470299998
191, ,6960, ,Building 6960,0,-119.874345672000000,34.412706880599998
192, ,521, ,Bren Hall,5,-119.842148411000000,34.413193844200002
193, ,699, ,Engineering Trailer 699,1,-119.842635169999990,34.413707317899998
194, ,1862, ,Building 1862,0,-119.869226540000000,34.417892873400000
195, ,7075, ,Building 7075,0,-119.876908417000000,34.410016304899997
196, ,764, ,Storke Apartments 764,3,-119.864218073000000,34.422198533100001
197, ,7900, ,Building 7900,0,-119.872203075000000,34.412274508899998
198, ,545, ,Recreation Restrooms and Storage,1,-119.852821023999990,34.417663141799999
199, ,765, ,Storke Apartments 765,3,-119.864516353000000,34.422339642300003
200, ,789, ,Storke Apartments 789,3,-119.862839104000000,34.422076999600002
201, ,909, ,Building 909,0,-119.870824070000000,34.411838274899999
202, ,1123, ,Sierra Madre Toluca Village,3,-119.870708846000000,34.420410113300001
203, ,719, ,West Apartment 719,2,-119.871852290000010,34.418813584900001
204, ,822, ,Santa Ynez Apartments 822,2,-119.861462493000000,34.418166317100003
205, ,713, ,West Apartment 713,2,-119.871470891000000,34.417708889300002
206, ,1882, ,Building 1882,0,-119.866827251999990,34.418778870499999
207, ,372, ,Chemistry Trailer 372,1,-119.842404306000010,34.415659710800000
208, ,808, ,Santa Ynez Activities 808,1,-119.863249447000000,34.418356981099997
209, ,7085, ,Building 7085,0,-119.877280166000010,34.410546863199997
210, ,830, ,Santa Ynez Apartments 830,2,-119.860625889999990,34.419924714899999
211, ,768, ,Storke Apartments 768,3,-119.863020836999990,34.422134478200000
212, ,551, ,Psychology,3,-119.845066591999990,34.411936759600003
213, ,559, ,North Sewer Pump Station,3,-119.852266961000000,34.421618921600000
214, ,957, ,Sierra Nevada Aquatics Research Lab Storage,1,-119.869975941000010,34.412734088400001
215, ,0, , ,0,-119.870748406000000,34.412991775499997
216, ,505, ,Events Center,2,-119.851328821000000,34.413776849700000
217, ,828, ,Santa Ynez Apartments 828,2,-119.861694996000000,34.419801811100001
218, ,711, ,West Apartment 711,2,-119.870977181000000,34.419026293199998
219, ,807, ,Santa Ynez Apartments 807,2,-119.863485370000010,34.418368234900001
220, ,519, ,Marine Science Utility Building,1,-119.842380778000010,34.412247274099997
221, ,780, ,Storke Apartments 780,3,-119.863996811000010,34.422868613200002
222, ,820, ,Santa Ynez Apartments 820,2,-119.862296595000000,34.418303742500001
223, ,931, ,Building 931,0,-119.871286975999990,34.413165278500003
224, ,975, ,Building 975,0,-119.870474939999990,34.411403726600000
225, ,353, ,West Recreation Ath,1,-119.870246548000000,34.415340491300000
226, ,571, ,Biological Sciences II,8,-119.842617128000000,34.411994307400001
227, ,760, ,Storke Apartments 760,3,-119.864572730000010,34.422780685200003
228, ,537, ,Recreation Storage 537,1,-119.852460776000000,34.417158492699997
229, ,338, ,Marine Science Institute Trailer 338,1,-119.843921022000000,34.407784311800000
230, ,550, ,Beach Pump House,1,-119.843102827000000,34.407202125200001
231, ,698, ,Engineering Trailer 698,1,-119.842406287000000,34.413714752899999
232, ,1878, ,Building 1878,0,-119.867148548000000,34.418835924900002
233, ,366, ,Coil Oil Point Reserve Staff Trailer,1,-119.878508120000010,34.408305626100002
234, ,594, ,Facilities Management Shop,1,-119.853065847000000,34.421125680300001
235, ,951, ,Sierra Nevada Aquatics Research Lab,1,-119.870274827000000,34.412771112599998
236, ,814, ,Santa Ynez Apartments 814,2,-119.862163603000000,34.419195778300001
237, ,821, ,Santa Ynez Apartments 821,2,-119.861627514000010,34.418367056000001
238, ,730, ,West Apartment 730,2,-119.872871798000010,34.417642233400002
239, ,809, ,Santa Ynez Apartments 809,1,-119.862970462000010,34.418321335100003
240, ,703, ,West Apartment 703,2,-119.870843772000000,34.417946608199998
241, ,1861, ,Building 1861,0,-119.867175391999990,34.417855304800000
242, ,1879, ,Building 1879,0,-119.867306627999990,34.418991578099998
243, ,7955, ,West 7955,1,-119.873329287000000,34.411531118699997
244, ,971, ,Building 971,0,-119.869930305000000,34.411492625299999
245, ,554, ,Theater & Dance East,3,-119.850649064000000,34.412588673199998
